Year,Year ending,Local Government Area,Sex,Alleged Offender Incidents
2019,December,Macedon Ranges,Males,616
2019,December,Manningham,Females,287
2019,December,Manningham,Males,"1,007"
2019,December,Mansfield,Females,28
2019,December,Mansfield,Males,133
2019,December,Maribyrnong,Females,453
2019,December,Maribyrnong,Males,"2,003"
2019,December,Maroondah,Females,630
2019,December,Maroondah,Males,"2,057"
2019,December,Melbourne,Females,"2,284"
2019,December,Melbourne,Males,"9,206"
2019,December,Melton,Females,714
2019,December,Melton,Males,"2,525"
2019,December,Merri-bek,Females,693
2019,December,Merri-bek,Males,"2,821"
2019,December,Mildura,Females,793
2019,December,Mildura,Males,"2,138"
2019,December,Mitchell,Females,299
2019,December,Mitchell,Males,"1,268"
2019,December,Moira,Females,163
2019,December,Moira,Males,723
2019,December,Monash,Females,691
2019,December,Monash,Males,"2,428"
2019,December,Moonee Valley,Females,505
2019,December,Moonee Valley,Males,"1,873"
2019,December,Moorabool,Females,118
2019,December,Moorabool,Males,490
2019,December,Mornington Peninsula,Females,707
2019,December,Mornington Peninsula,Males,"2,889"
2019,December,Mount Alexander,Females,79
2019,December,Mount Alexander,Males,338
2019,December,Moyne,Females,48
2019,December,Moyne,Males,220
2019,December,Murrindindi,Females,68
2019,December,Murrindindi,Males,216
2019,December,Nillumbik,Females,136
2019,December,Nillumbik,Males,558
2019,December,Northern Grampians,Females,79
2019,December,Northern Grampians,Males,356
2019,December,Port Phillip,Females,684
2019,December,Port Phillip,Males,"2,586"
2019,December,Pyrenees,Females,29
2019,December,Pyrenees,Males,153
2019,December,Queenscliffe,Females,4
2019,December,Queenscliffe,Males,28
2019,December,South Gippsland,Females,127
2019,December,South Gippsland,Males,454
2019,December,Southern Grampians,Females,124
2019,December,Southern Grampians,Males,400
2019,December,Stonnington,Females,581
2019,December,Stonnington,Males,"2,170"
2019,December,Strathbogie,Females,46
2019,December,Strathbogie,Males,136
2019,December,Surf Coast,Females,67
2019,December,Surf Coast,Males,292
2019,December,Swan Hill,Females,235
2019,December,Swan Hill,Males,796
2019,December,Towong,Females,8
2019,December,Towong,Males,53
2019,December,Wangaratta,Females,193
2019,December,Wangaratta,Males,709
2019,December,Warrnambool,Females,319
2019,December,Warrnambool,Males,"1,123"
2019,December,Wellington,Females,365
2019,December,Wellington,Males,"1,268"
2019,December,West Wimmera,Females,12
2019,December,West Wimmera,Males,38
2019,December,Whitehorse,Females,593
2019,December,Whitehorse,Males,"1,741"
2019,December,Whittlesea,Females,"1,047"
2019,December,Whittlesea,Males,"3,991"
2019,December,Wodonga,Females,229
2019,December,Wodonga,Males,956
2019,December,Wyndham,Females,"1,038"
2019,December,Wyndham,Males,"4,154"
2019,December,Yarra,Females,624
2019,December,Yarra,Males,"2,691"
2019,December,Yarra Ranges,Females,472
2019,December,Yarra Ranges,Males,"2,039"
2019,December,Yarriambiack,Females,41
2019,December,Yarriambiack,Males,115
2018,December,Alpine,Females,40
2018,December,Alpine,Males,163
2018,December,Ararat,Females,126
2018,December,Ararat,Males,378
2018,December,Ballarat,Females,727
2018,December,Ballarat,Males,"2,423"
2018,December,Banyule,Females,671
2018,December,Banyule,Males,"2,196"
2018,December,Bass Coast,Females,200
2018,December,Bass Coast,Males,607
2018,December,Baw Baw,Females,285
2018,December,Baw Baw,Males,"1,179"
2018,December,Bayside,Females,230
2018,December,Bayside,Males,950
2018,December,Benalla,Females,99
2018,December,Benalla,Males,360
2018,December,Boroondara,Females,275
2018,December,Boroondara,Males,"1,274"
2018,December,Brimbank,Females,"1,179"
2018,December,Brimbank,Males,"4,583"
2018,December,Buloke,Females,11
2018,December,Buloke,Males,60
2018,December,Campaspe,Females,265
2018,December,Campaspe,Males,874
2018,December,Cardinia,Females,397
2018,December,Cardinia,Males,"1,519"
2018,December,Casey,Females,"1,299"
2018,December,Casey,Males,"5,276"
2018,December,Central Goldfields,Females,137
2018,December,Central Goldfields,Males,446
2018,December,Colac-Otway,Females,106
2018,December,Colac-Otway,Males,488
2018,December,Corangamite,Females,60
2018,December,Corangamite,Males,189
2018,December,Darebin,Females,795
2018,December,Darebin,Males,"2,801"
2018,December,East Gippsland,Females,431
2018,December,East Gippsland,Males,"1,406"
2018,December,Frankston,Females,"1,197"
2018,December,Frankston,Males,"3,914"
2018,December,Gannawarra,Females,53
2018,December,Gannawarra,Males,229
2018,December,Glen Eira,Females,323
2018,December,Glen Eira,Males,"1,300"
2018,December,Glenelg,Females,152
2018,December,Glenelg,Males,406
2018,December,Golden Plains,Females,25
2018,December,Golden Plains,Males,138
2018,December,Greater Bendigo,Females,787
2018,December,Greater Bendigo,Males,"2,808"
2018,December,Greater Dandenong,Females,"1,216"
2018,December,Greater Dandenong,Males,"4,800"
2018,December,Greater Geelong,Females,"1,367"
2018,December,Greater Geelong,Males,"4,918"
2018,December,Greater Shepparton,Females,654
2018,December,Greater Shepparton,Males,"2,363"
2018,December,Hepburn,Females,54
2018,December,Hepburn,Males,160
2018,December,Hindmarsh,Females,29
2018,December,Hindmarsh,Males,116
2018,December,Hobsons Bay,Females,331
2018,December,Hobsons Bay,Males,"1,761"
2018,December,Horsham,Females,221
2018,December,Horsham,Males,648
2018,December,Hume,Females,"1,258"
2018,December,Hume,Males,"5,154"
2018,December,Indigo,Females,29
2018,December,Indigo,Males,109
2018,December,Kingston,Females,832
2018,December,Kingston,Males,"2,531"
2018,December,Knox,Females,725
2018,December,Knox,Males,"2,678"
2018,December,Latrobe,Females,"1,325"
2018,December,Latrobe,Males,"3,976"
2018,December,Loddon,Females,28
2018,December,Loddon,Males,148
2018,December,Macedon Ranges,Females,146
2018,December,Macedon Ranges,Males,600
2018,December,Manningham,Females,240
2018,December,Manningham,Males,902
2018,December,Mansfield,Females,34
2018,December,Mansfield,Males,118
2018,December,Maribyrnong,Females,437
2018,December,Maribyrnong,Males,"1,929"
2018,December,Maroondah,Females,632
2018,December,Maroondah,Males,"2,106"
2018,December,Melbourne,Females,"2,281"
2018,December,Melbourne,Males,"9,720"
2018,December,Melton,Females,634
2018,December,Melton,Males,"2,333"
2018,December,Merri-bek,Females,667
2018,December,Merri-bek,Males,"2,873"
2018,December,Mildura,Females,738
2018,December,Mildura,Males,"2,049"
2018,December,Mitchell,Females,309
2018,December,Mitchell,Males,"1,229"
2018,December,Moira,Females,120
2018,December,Moira,Males,649
2018,December,Monash,Females,513
2018,December,Monash,Males,"2,060"
2018,December,Moonee Valley,Females,435
2018,December,Moonee Valley,Males,"1,919"
2018,December,Moorabool,Females,139
2018,December,Moorabool,Males,605
2018,December,Mornington Peninsula,Females,691
2018,December,Mornington Peninsula,Males,"2,994"
2018,December,Mount Alexander,Females,81
2018,December,Mount Alexander,Males,248
2018,December,Moyne,Females,36
2018,December,Moyne,Males,163
2018,December,Murrindindi,Females,50
2018,December,Murrindindi,Males,220
2018,December,Nillumbik,Females,102
