Year,Year ending,Local Government Area,Age Group,Alleged Offender Incidents
2022,December,Merri-bek,10 - 17 years,217
2022,December,Merri-bek,18 - 24 years,460
2022,December,Merri-bek,25 - 29 years,396
2022,December,Merri-bek,30 - 34 years,495
2022,December,Merri-bek,35 - 39 years,464
2022,December,Merri-bek,40 - 44 years,385
2022,December,Merri-bek,45+ years,863
2022,December,Mildura,10 - 17 years,322
2022,December,Mildura,18 - 24 years,649
2022,December,Mildura,25 - 29 years,527
2022,December,Mildura,30 - 34 years,478
2022,December,Mildura,35 - 39 years,327
2022,December,Mildura,40 - 44 years,308
2022,December,Mildura,45+ years,470
2022,December,Mitchell,10 - 17 years,141
2022,December,Mitchell,18 - 24 years,204
2022,December,Mitchell,25 - 29 years,185
2022,December,Mitchell,30 - 34 years,205
2022,December,Mitchell,35 - 39 years,204
2022,December,Mitchell,40 - 44 years,154
2022,December,Mitchell,45+ years,295
2022,December,Moira,10 - 17 years,54
2022,December,Moira,18 - 24 years,164
2022,December,Moira,25 - 29 years,110
2022,December,Moira,30 - 34 years,99
2022,December,Moira,35 - 39 years,102
2022,December,Moira,40 - 44 years,84
2022,December,Moira,45+ years,161
2022,December,Monash,10 - 17 years,336
2022,December,Monash,18 - 24 years,492
2022,December,Monash,25 - 29 years,461
2022,December,Monash,30 - 34 years,460
2022,December,Monash,35 - 39 years,409
2022,December,Monash,40 - 44 years,369
2022,December,Monash,45+ years,667
2022,December,Moonee Valley,10 - 17 years,201
2022,December,Moonee Valley,18 - 24 years,312
2022,December,Moonee Valley,25 - 29 years,304
2022,December,Moonee Valley,30 - 34 years,411
2022,December,Moonee Valley,35 - 39 years,400
2022,December,Moonee Valley,40 - 44 years,324
2022,December,Moonee Valley,45+ years,574
2022,December,Moorabool,10 - 17 years,94
2022,December,Moorabool,18 - 24 years,98
2022,December,Moorabool,25 - 29 years,106
2022,December,Moorabool,30 - 34 years,103
2022,December,Moorabool,35 - 39 years,89
2022,December,Moorabool,40 - 44 years,105
2022,December,Moorabool,45+ years,122
2022,December,Mornington Peninsula,10 - 17 years,499
2022,December,Mornington Peninsula,18 - 24 years,522
2022,December,Mornington Peninsula,25 - 29 years,404
2022,December,Mornington Peninsula,30 - 34 years,418
2022,December,Mornington Peninsula,35 - 39 years,347
2022,December,Mornington Peninsula,40 - 44 years,369
2022,December,Mornington Peninsula,45+ years,809
2022,December,Mount Alexander,10 - 17 years,45
2022,December,Mount Alexander,18 - 24 years,58
2022,December,Mount Alexander,25 - 29 years,34
2022,December,Mount Alexander,30 - 34 years,42
2022,December,Mount Alexander,35 - 39 years,51
2022,December,Mount Alexander,40 - 44 years,47
2022,December,Mount Alexander,45+ years,75
2022,December,Moyne,10 - 17 years,31
2022,December,Moyne,18 - 24 years,35
2022,December,Moyne,25 - 29 years,31
2022,December,Moyne,30 - 34 years,44
2022,December,Moyne,35 - 39 years,23
2022,December,Moyne,40 - 44 years,18
2022,December,Moyne,45+ years,59
2022,December,Murrindindi,10 - 17 years,17
2022,December,Murrindindi,18 - 24 years,40
2022,December,Murrindindi,25 - 29 years,43
2022,December,Murrindindi,30 - 34 years,24
2022,December,Murrindindi,35 - 39 years,49
2022,December,Murrindindi,40 - 44 years,29
2022,December,Murrindindi,45+ years,103
2022,December,Nillumbik,10 - 17 years,105
2022,December,Nillumbik,18 - 24 years,111
2022,December,Nillumbik,25 - 29 years,62
2022,December,Nillumbik,30 - 34 years,43
2022,December,Nillumbik,35 - 39 years,73
2022,December,Nillumbik,40 - 44 years,39
2022,December,Nillumbik,45+ years,105
2022,December,Northern Grampians,10 - 17 years,43
2022,December,Northern Grampians,18 - 24 years,77
2022,December,Northern Grampians,25 - 29 years,61
2022,December,Northern Grampians,30 - 34 years,59
2022,December,Northern Grampians,35 - 39 years,56
2022,December,Northern Grampians,40 - 44 years,38
2022,December,Northern Grampians,45+ years,134
2022,December,Port Phillip,10 - 17 years,123
2022,December,Port Phillip,18 - 24 years,388
2022,December,Port Phillip,25 - 29 years,432
2022,December,Port Phillip,30 - 34 years,544
2022,December,Port Phillip,35 - 39 years,491
2022,December,Port Phillip,40 - 44 years,524
2022,December,Port Phillip,45+ years,717
2022,December,Pyrenees,10 - 17 years,12
2022,December,Pyrenees,18 - 24 years,23
2022,December,Pyrenees,25 - 29 years,14
2022,December,Pyrenees,30 - 34 years,13
2022,December,Pyrenees,35 - 39 years,10
2022,December,Pyrenees,40 - 44 years,10
2022,December,Pyrenees,45+ years,32
2022,December,Queenscliffe,10 - 17 years,
2022,December,Queenscliffe,18 - 24 years,
2022,December,Queenscliffe,25 - 29 years,
2022,December,Queenscliffe,30 - 34 years,
2022,December,Queenscliffe,35 - 39 years,
2022,December,Queenscliffe,40 - 44 years,
2022,December,Queenscliffe,45+ years,
2022,December,South Gippsland,10 - 17 years,68
2022,December,South Gippsland,18 - 24 years,97
2022,December,South Gippsland,25 - 29 years,69
2022,December,South Gippsland,30 - 34 years,90
2022,December,South Gippsland,35 - 39 years,99
2022,December,South Gippsland,40 - 44 years,85
2022,December,South Gippsland,45+ years,166
2022,December,Southern Grampians,10 - 17 years,62
2022,December,Southern Grampians,18 - 24 years,92
2022,December,Southern Grampians,25 - 29 years,54
2022,December,Southern Grampians,30 - 34 years,70
2022,December,Southern Grampians,35 - 39 years,64
2022,December,Southern Grampians,40 - 44 years,41
2022,December,Southern Grampians,45+ years,99
2022,December,Stonnington,10 - 17 years,302
2022,December,Stonnington,18 - 24 years,534
2022,December,Stonnington,25 - 29 years,470
2022,December,Stonnington,30 - 34 years,466
2022,December,Stonnington,35 - 39 years,417
2022,December,Stonnington,40 - 44 years,341
2022,December,Stonnington,45+ years,597
2022,December,Strathbogie,10 - 17 years,9
2022,December,Strathbogie,18 - 24 years,17
2022,December,Strathbogie,25 - 29 years,28
2022,December,Strathbogie,30 - 34 years,24
2022,December,Strathbogie,35 - 39 years,20
2022,December,Strathbogie,40 - 44 years,22
2022,December,Strathbogie,45+ years,63
2022,December,Surf Coast,10 - 17 years,56
2022,December,Surf Coast,18 - 24 years,53
2022,December,Surf Coast,25 - 29 years,55
2022,December,Surf Coast,30 - 34 years,50
2022,December,Surf Coast,35 - 39 years,34
2022,December,Surf Coast,40 - 44 years,35
2022,December,Surf Coast,45+ years,92
2022,December,Swan Hill,10 - 17 years,62
2022,December,Swan Hill,18 - 24 years,151
2022,December,Swan Hill,25 - 29 years,144
2022,December,Swan Hill,30 - 34 years,125
2022,December,Swan Hill,35 - 39 years,163
2022,December,Swan Hill,40 - 44 years,100
2022,December,Swan Hill,45+ years,215
2022,December,Towong,10 - 17 years,9
2022,December,Towong,18 - 24 years,14
2022,December,Towong,25 - 29 years,2
2022,December,Towong,30 - 34 years,5
2022,December,Towong,35 - 39 years,5
2022,December,Towong,40 - 44 years,6
