Year,Year ending,Local Government Area,Harm Caused Flag,Age Group,Victim Reports
2022,December,Northern Grampians,High Harm,45+,20
2022,December,Northern Grampians,Low Harm,00 - 24,17
2022,December,Northern Grampians,Low Harm,25 - 44,60
2022,December,Northern Grampians,Low Harm,45+,89
2022,December,Northern Grampians,Medium Harm,00 - 24,28
2022,December,Northern Grampians,Medium Harm,25 - 44,57
2022,December,Northern Grampians,Medium Harm,45+,43
2022,December,Port Phillip,High Harm,00 - 24,172
2022,December,Port Phillip,High Harm,25 - 44,384
2022,December,Port Phillip,High Harm,45+,187
2022,December,Port Phillip,Low Harm,00 - 24,422
2022,December,Port Phillip,Low Harm,25 - 44,"2,136"
2022,December,Port Phillip,Low Harm,45+,"1,649"
2022,December,Port Phillip,Medium Harm,00 - 24,201
2022,December,Port Phillip,Medium Harm,25 - 44,612
2022,December,Port Phillip,Medium Harm,45+,424
2022,December,Pyrenees,High Harm,00 - 24,8
2022,December,Pyrenees,High Harm,25 - 44,4
2022,December,Pyrenees,High Harm,45+,6
2022,December,Pyrenees,Low Harm,00 - 24,4
2022,December,Pyrenees,Low Harm,25 - 44,30
2022,December,Pyrenees,Low Harm,45+,50
2022,December,Pyrenees,Medium Harm,00 - 24,10
2022,December,Pyrenees,Medium Harm,25 - 44,21
2022,December,Pyrenees,Medium Harm,45+,21
2022,December,Queenscliffe,High Harm,00 - 24,
2022,December,Queenscliffe,High Harm,25 - 44,
2022,December,Queenscliffe,High Harm,45+,
2022,December,Queenscliffe,Low Harm,00 - 24,2
2022,December,Queenscliffe,Low Harm,25 - 44,12
2022,December,Queenscliffe,Low Harm,45+,38
2022,December,Queenscliffe,Medium Harm,00 - 24,
2022,December,Queenscliffe,Medium Harm,25 - 44,
2022,December,Queenscliffe,Medium Harm,45+,
2022,December,South Gippsland,High Harm,00 - 24,69
2022,December,South Gippsland,High Harm,25 - 44,35
2022,December,South Gippsland,High Harm,45+,49
2022,December,South Gippsland,Low Harm,00 - 24,42
2022,December,South Gippsland,Low Harm,25 - 44,119
2022,December,South Gippsland,Low Harm,45+,186
2022,December,South Gippsland,Medium Harm,00 - 24,42
2022,December,South Gippsland,Medium Harm,25 - 44,80
2022,December,South Gippsland,Medium Harm,45+,84
2022,December,Southern Grampians,High Harm,00 - 24,42
2022,December,Southern Grampians,High Harm,25 - 44,30
2022,December,Southern Grampians,High Harm,45+,21
2022,December,Southern Grampians,Low Harm,00 - 24,27
